Key,en,ru
Gameplay,Gameplay,Игровой процесс
Graphics,Graphics,Графика
Experimental,Experimental,Экспериментальные настройки
Lang,Language,Язык
Settings,Settings,Настройки
Сontrols,Сontrols,Управление
Forward,Forward,Вперед
Back,Back,Назад
Right,Right,Вправо
Left,Left,Влево
Reset,Reset,Сброс
Save,Save,Сохранить
Yes,Yes,Да
No,No,Нет
Continue,Continue,Продолжить
New Game,New Game,Новая Игра
Exit,Exit,Выход
Awaiting...,Awaiting...,Ожидание...
Name,Name,Имя
Host,Host,Хост
Client,Client,Клиент
Start,Start,Запуск
ALEX,ALEX,Алекс
ALISA,ALISA,Алиса
Window mode,Window mode,Режим окна
Screen resolution,Screen resolution,Разрешение экрана
Very low,Very low,Очень Низкие
Low,Low,Низкие
low,low,Низкие
Medium,Medium,Средние
High,High,Высокие
Ultra,Ultra,Ультра
Preset Settings,Preset Settings,Предустановленные настройки
Load,Load,Загрузить
Connect,Connect,Присоединиться
Net,Network,Сеть
Network,Network,Сетевые настройки
Jump,Jump,Прыжок
Volume,Volume,Громкость 
Game,Game,Игра
Create Game,Create Game,Создать Игру
